"";"Motifs"
"1";"acorn"
"2";"aegis"
"3";"Aiolos"
"4";"Ajax"
"5";"Alexander"
"6";"altar"
"7";"Ammon"
"8";"amphora"
"9";"anchor"
"10";"animal mask"
"11";"ankh"
"12";"ant"
"13";"Aphrodite"
"14";"Apollo"
"15";"apple"
"16";"architrave"
"17";"Ares"
"18";"Arethusa"
"19";"Arethusa-Artemis"
"20";"arm"
"21";"armour"
"22";"arrow"
"23";"Artemis"
"24";"Asclepius"
"25";"astragalos"
"26";"Athena"
"27";"athlete"
"28";"Attis / Actaeon"
"29";"Aurelius"
"30";"axe"
"31";"Baal"
"32";"balls"
"33";"barley"
"34";"bee"
"35";"bell"
"36";"Bellerophon"
"37";"bird"
"38";"bird-trap"
"39";"boar"
"40";"Boeotian shield"
"41";"bone"
"42";"border of rays"
"43";"bow"
"44";"bow case"
"45";"bow drill"
"46";"boy"
"47";"branch"
"48";"buckler"
"49";"bucranium"
"50";"bud"
"51";"bull"
"52";"calf"
"53";"cap"
"54";"cart"
"55";"celery"
"56";"chariot"
"57";"charioteer"
"58";"chimaera"
"59";"cicada"
"60";"cippus"
"61";"circle"
"62";"city goddess"
"63";"club"
"64";"cock"
"65";"cockle shell"
"66";"column capital"
"67";"conch shell"
"68";"corn"
"69";"cornucopiae"
"70";"cow"
"71";"crab"
"72";"crane"
"73";"crayfish"
"74";"crepundia"
"75";"crescent"
"76";"Cretan bull"
"77";"crook"
"78";"cross"
"79";"cross-hatch pattern"
"80";"crow"
"81";"cup"
"82";"cuttlefish"
"83";"dagger"
"84";"date palm"
"85";"deer"
"86";"deity"
"87";"Demeter"
"88";"dented ornament"
"89";"diamond"
"90";"Dione"
"91";"Dionysos"
"92";"disc"
"93";"discobolos"
"94";"dog"
"95";"dolphin"
"96";"donkey"
"97";"dotted square ornament"
"98";"double axe"
"99";"double volute"
"100";"dove"
"101";"drinking cup"
"102";"eagle"
"103";"eel"
"104";"Egyptian attendant"
"105";"Enodia"
"106";"eye"
"107";"fig leaf"
"108";"figure"
"109";"fir tree"
"110";"fish"
"111";"flail"
"112";"floral ornament"
"113";"flower"
"114";"fly"
"115";"fort"
"116";"galley"
"117";"girl"
"118";"goat"
"119";"goddess"
"120";"goose"
"121";"gorgoneion"
"122";"grain"
"123";"grapes"
"124";"grasshopper"
"125";"Great King of Persia"
"126";"griffin"
"127";"hammer"
"128";"hare"
"129";"Harmonia"
"130";"harpy"
"131";"Hecate"
"132";"Helios"
"133";"hen"
"134";"Hephaestus"
"135";"Hera"
"136";"Heracles"
"137";"herd"
"138";"herm"
"139";"Hermes"
"140";"hippocamp"
"141";"hoplite"
"142";"horned skull"
"143";"horse"
"144";"horse rein"
"145";"hound"
"146";"hunter"
"147";"hydria"
"148";"incense burner"
"149";"incuse square"
"151";"Iocastus"
"152";"Ionic capital"
"153";"Ionic column"
"154";"ivy"
"155";"javelin"
"156";"jug"
"157";"kantharos"
"158";"ketos"
"159";"king"
"160";"kithara"
"161";"Kore"
"162";"krater"
"163";"labyrinth"
"164";"ladle"
"165";"lagobolon"
"166";"laurel"
"167";"leaf"
"168";"Leucaspis"
"169";"libation vessel"
"170";"linear circle ornament"
"171";"linear square ornament"
"172";"lion"
"173";"lion mask"
"174";"lizard"
"175";"locust"
"176";"lotus"
"177";"Lucilla"
"178";"lyre"
"179";"Macedonian man"
"180";"Maenad"
"181";"male pubes"
"182";"man"
"183";"man-headed bull"
"184";"man-headed goat"
"185";"marsh bird"
"186";"Medea"
"187";"Medusa"
"188";"Melquarth"
"189";"Minotaur"
"190";"monster"
"191";"mule"
"192";"murex shell"
"193";"mussel shell"
"194";"nail-studded square"
"195";"naval standard"
"196";"Nike"
"197";"nymph"
"198";"nymph Cyane"
"199";"nymph Cyme"
