"";"DATE";"HDenomination";"HMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations"
"330";330;2,24983567834306;4,92917429521472;2,90497947179982;0,589344035697824
"350";350;2,2344760105243;5,00457915559929;2,94012150372035;0,587486262542345
"370";370;2,14629361208071;4,97845703835108;3,00890751103367;0,604385553165334
"390";390;2,05631647434702;4,75402423421408;2,78964571340014;0,586796696012494
"405";405;2,50675224278186;4,34227105131181;2,02376574981463;0,466061589868566
"415";415;2,41120042882493;5,25437621889115;3,03743572439978;0,578077320287656
"425";425;2,15050103204365;4,39324232577221;2,43225986545318;0,553636627596146
"435";435;2,31385936580753;4,8640758793743;2,72352142506155;0,559925768553572
"445";445;1,90062172600348;4,5530203039367;2,80181609176214;0,615375268443147
"455";455;2,06324011489118;4,56846987181605;2,68444561690198;0,587602784350827
"470";470;2,25864175360695;4,78543086665083;2,72711531233893;0,569878739936234
"490";490;2,30893495959084;3,84436793095255;1,9914352161112;0,518013689604825
"600";600;2,10032302611473;4,09936372603134;2,46431059745866;0,601144656135306
