"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI"
"acorn";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"aegis";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Aiolos";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Ajax";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Alexander";330;2,24983567834306;0,0247429107127184;2,23227149885171;0,992193127853549;0,00717873122137025;0,290132850767643;0,0175641794913481
"altar";330;2,24983567834306;0,0247429107127184;2,24515774364904;0,997920766063471;0,0200649760186935;0,810938383590402;0,00467793469402489
"Ammon";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"amphora";330;2,24983567834306;0,0442600020458075;2,24406905706778;0,997436870020867;0,038493380770523;0,869710325152804;0,00576662127528449
"anchor";330;2,24983567834306;0,183865543292359;2,16906122677075;0,964097621728623;0,103091091720047;0,560687390764266;0,0807744515723123
"animal.mask";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"ankh";330;2,24983567834306;0,0247429107127184;2,22509276763034;0,989002347615475;0;0;0,0247429107127184
"ant";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Aphrodite";330;2,24983567834306;0,0442600020458075;2,2340968199042;0,993004440906346;0,0285211436069468;0,644399961333677;0,0157388584388607
"Apollo";330;2,24983567834306;0,206192050633232;2,19678636062017;0,976420803424202;0,153142732910337;0,742718899395121;0,0530493177228948
"apple";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"architrave";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Ares";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Arethusa";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Arethusa.Artemis";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"arm";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"armour";330;2,24983567834306;0,0247429107127184;2,24131130485887;0,996211112853154;0,0162185372285295;0,655482187073198;0,00852437348418889
"arrow";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Artemis";330;2,24983567834306;0,0442600020458075;2,23246024863734;0,99227702277416;0,0268845723400823;0,607423657871904;0,0173754297057251
"Asclepius";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"astragalos";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Athena";330;2,24983567834306;0,344466863222925;2,12173452543289;0,943061995974516;0,216365710312751;0,628117631659471;0,128101152910174
"athlete";330;2,24983567834306;0,0247429107127184;2,24352117238217;0,997193347931285;0,0184284047518291;0,744795346262817;0,00631450596088934
"Attis...Actaeon";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"Aurelius";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
"axe";330;2,24983567834306;0;2,24983567834306;1;0;NA;0
