"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI";"NDenominations";"NCoins"
"4";4;2,42656003462673;6,20318107397849;0,237408354359206;0,0978374122096368;4,01402939371096;0,647092088049674;2,18915168026753;39;961
"5";5;2,39846034350391;6,39789806739554;0,366096637231832;0,152638186503014;4,36553436112347;0,682338842403688;2,03236370627208;43;1547
"6";6;1,70701682369083;3,04313760474947;0,276281697202622;0,161850600045791;1,61240247826127;0,529848691608544;1,43073512648821;8;32
