"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI"
"acorn";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"aegis";4;2,42656003462673;0,00818673666705916;2,42522201205914;0,999448592843983;0,00684871409946108;0,836562158768114;0,00133802256759807
"Aiolos";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"Ajax";4;2,42656003462673;0,053063967432931;2,41298477323972;0,994405553049052;0,0394887060459199;0,744171760165329;0,0135752613870102
"Alexander";4;2,42656003462673;0,00818673666705916;2,42186028762756;0,998063205965603;0,00348698966788863;0,425931578075447;0,00469974699917053
"altar";4;2,42656003462673;0,0325490661614367;2,42081448028331;0,997632222462482;0,0268035118180094;0,823480209388174;0,00574555434342727
"Ammon";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"amphora";4;2,42656003462673;0,10516269831431;2,41131874195111;0,993718971524241;0,0899214056386839;0,855069402745132;0,0152412926756291
"anchor";4;2,42656003462673;0,0971468238973507;2,40421075690262;0,990789728090303;0,0747975461732349;0,769943299971072;0,0223492777241159
"animal.mask";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"ankh";4;2,42656003462673;0,0325490661614367;2,40956368188939;0,992995700706017;0,0155527134240936;0,477823644677095;0,0169963527373431
"ant";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"Aphrodite";4;2,42656003462673;0,0325490661614367;2,41560878898825;0,995486925737582;0,0215978205229526;0,66354654894957;0,010951245638485
"Apollo";4;2,42656003462673;0,320254843515443;2,38290506516115;0,982009524247233;0,276599874049857;0,863686778359432;0,0436549694655861
"apple";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"architrave";4;2,42656003462673;0,0149298354277976;2,42022884833847;0,997390880012066;0,00859864913953157;0,575937302264023;0,00633118628826601
"Ares";4;2,42656003462673;0,0431101908588944;2,41655485952464;0,99587680710169;0,0331050157567994;0,767916242012396;0,0100051751020951
"Arethusa";4;2,42656003462673;0,124351604731499;2,37624322925907;0,979264141562687;0,0740347993638375;0,595366658304847;0,0503168053676619
"Arethusa.Artemis";4;2,42656003462673;0,0211273661377342;2,4110235387759;0,993597316518392;0,0055908702868992;0,264626941685537;0,0155364958508351
"arm";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"armour";4;2,42656003462673;0,0269702226383917;2,40934945775282;0,992907417649543;0,00975964576447463;0,361867452683981;0,017210576873917
"arrow";4;2,42656003462673;0,0269702226383917;2,42363055697662;0,998792744622713;0,0240407449882776;0,891381035692897;0,00292947765011409
"Artemis";4;2,42656003462673;0,0971468238973507;2,4152499519897;0,995339046850008;0,0858367412603149;0,883577432763149;0,0113100826370376
"Asclepius";4;2,42656003462673;0,0149298354277976;2,42431674222884;0,999075525696509;0,0126865430299068;0,849744331828733;0,00224329239789078
"astragalos";4;2,42656003462673;0,00818673666705916;2,42522201205914;0,999448592843983;0,00684871409946108;0,836562158768114;0,00133802256759807
"Athena";4;2,42656003462673;0,434876598388706;2,33040099660017;0,960372281478971;0,338717560362139;0,778882013005866;0,0961590380265669
"athlete";4;2,42656003462673;0,00818673666705916;2,42449877170795;0,999150541140804;0,00612547374827432;0,74821922304174;0,00206126291878483
"Attis...Actaeon";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"Aurelius";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"axe";4;2,42656003462673;0,00818673666705916;2,42449877170795;0,999150541140804;0,00612547374827432;0,74821922304174;0,00206126291878483
"Baal";4;2,42656003462673;0,101181339437596;2,39534820359041;0,987137416511056;0,0699695084012744;0,691525816817522;0,0312118310363214
"balls";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"barley";4;2,42656003462673;0,0431101908588944;2,42200369710314;0,998122305873923;0,038553853335304;0,894309502398077;0,0045563375235913
"bee";4;2,42656003462673;0,0578581504785065;2,41911711872618;0,996932729545388;0,0504152345779536;0,871359249492121;0,00744291590055379
"bell";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"Bellerophon";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"bird";4;2,42656003462673;0,0625470069248815;2,39335170345305;0,986314646784003;0,0293386757511929;0,469066022398616;0,0332083311736895
"bird.trap";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"boar";4;2,42656003462673;0,00818673666705916;2,42522201205914;0,999448592843983;0,00684871409946108;0,836562158768114;0,00133802256759807
"Boeotian.shield";4;2,42656003462673;0,10516269831431;2,40058566033234;0,989295803967861;0,0791883240199116;0,753007723168471;0,0259743742943987
"bone";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"border.of.rays";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"bow";4;2,42656003462673;0,163152435021539;2,41108302951972;0,993621833012101;0,147675429914525;0,905137762087517;0,0154770051070123
"bow.case";4;2,42656003462673;0,0269702226383917;2,42119083249411;0,997787319474481;0,02160102050577;0,800921104560007;0,00536920213262171
"bow.drill";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"boy";4;2,42656003462673;0,0211273661377342;2,42250408048287;0,998328516877394;0,0170714119938653;0,808023673304697;0,00405595414386895
"branch";4;2,42656003462673;0,0269702226383917;2,42284082193576;0,998467290057569;0,0232510099474146;0,862099295921909;0,00371921269097708
"buckler";4;2,42656003462673;0,0379172945327628;2,42046645849415;0,997488800587814;0,0318237184001742;0,839292960964727;0,00609357613258865
"bucranium";4;2,42656003462673;0,0149298354277976;2,42022884833847;0,997390880012066;0,00859864913953157;0,575937302264023;0,00633118628826601
"bud";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"bull";4;2,42656003462673;0,276527166833166;2,38673800299936;0,98358910100755;0,236705135205791;0,855992334918037;0,0398220316273754
"calf";4;2,42656003462673;0,0481528319506328;2,41276332850807;0,994314294341873;0,0343561258319705;0,713480899050611;0,0137967061186623
"cap";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"cart";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"celery";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"chariot";4;2,42656003462673;0,173069235655313;2,36803353015337;0,975880875132616;0,114542731181947;0,661831842893627;0,0585265044733649
"charioteer";4;2,42656003462673;0,0269702226383917;2,42264126973778;0,998385053395326;0,0230514577494345;0,854700313694153;0,00391876488895804
"chimaera";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"cicada";4;2,42656003462673;0,0149298354277976;2,42388114669549;0,998896014154597;0,0122509474965495;0,820568154002537;0,00267888793124804
"cippus";4;2,42656003462673;0,0716451584138298;2,37398470866707;0,978333391628718;0,0190698324541678;0,266170567228263;0,0525753259596611
"circle";4;2,42656003462673;0,0149298354277976;2,42081953824999;0,997634306881003;0,00918933905104868;0,615501697623487;0,00574049637674889
"city.goddess";4;2,42656003462673;0,00818673666705916;2,42239209587141;0,99828236734478;0,00401879791173254;0,490891313006673;0,00416793875532662
"club";4;2,42656003462673;0,281606624771453;2,40091706628509;0,989432378356307;0,255963656429811;0,908940464868491;0,0256429683416419
"cock";4;2,42656003462673;0,0431101908588944;2,42182492480131;0,998048632731993;0,0383750810334726;0,890162633681663;0,00473510982542358
"cockle.shell";4;2,42656003462673;0,00818673666705916;2,42421112689012;0,999032000979537;0,00583782893044482;0,713083755818652;0,00234890773661434
"column.capital";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"conch.shell";4;2,42656003462673;0;2,42656003462673;1;0;NA;0
"corn";4;2,42656003462673;0,227939902885766;2,39417754629527;0,986654981591485;0,195557414554306;0,857934096130204;0,0323824883314598
"cornucopiae";4;2,42656003462673;0,0269702226383917;2,42242062667826;0,99829412506206;0,0228308146899145;0,846519325999751;0,00413940794847711
"cow";4;2,42656003462673;0,0671400388576204;2,41285829443445;0,994353430371899;0,0534382986653341;0,795922963027431;0,0137017401922863
"crab";4;2,42656003462673;0,00818673666705916;2,42421112689012;0,999032000979537;0,00583782893044482;0,713083755818652;0,00234890773661434
"crane";4;2,42656003462673;0,00818673666705916;2,42463132214762;0,999205165975046;0,00625802418794397;0,764410099218689;0,00192871247911519
"crayfish";4;2,42656003462673;0,0846953496181344;2,40457680517669;0,990940578787935;0,0627121201680882;0,740443488938155;0,021983229450047
"crepundia";4;2,42656003462673;0,00818673666705916;2,42071392291126;0,997590782164031;0,00234062495158671;0,285904511990064;0,00584611171547245
"crescent";4;2,42656003462673;0,0671400388576204;2,41879980539892;0,996801962812757;0,0593798096298066;0,884417266360682;0,00776022922781472
