"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI";"NDenominations";"NCoins"
"330";330;2,24983567834306;4,92917429521472;0,225640854928164;0,100292148933447;2,90497947179982;0,589344035697824;2,0241948234149;21;266
"350";350;2,2344760105243;5,00457915559929;0,170018358645363;0,0760886927604426;2,94012150372035;0,587486262542345;2,06445765187894;21;210
"370";370;2,14629361208071;4,97845703835108;0,176744084763295;0,082348511763939;3,00890751103367;0,604385553165334;1,96954952731741;21;259
"390";390;2,05631647434702;4,75402423421408;0,0919379535330895;0,0447100213804805;2,78964571340014;0,586796696012494;1,96437852081393;18;178
"405";405;2,50675224278186;4,34227105131181;0,188246941284681;0,0750959500791249;2,02376574981463;0,466061589868566;2,31850530149718;20;129
"415";415;2,41120042882493;5,25437621889115;0,19425993433356;0,0805656518683645;3,03743572439978;0,578077320287656;2,21694049449137;27;318
"425";425;2,15050103204365;4,39324232577221;0,189518571724615;0,0881276357930935;2,43225986545318;0,553636627596146;1,96098246031904;16;133
"435";435;2,31385936580753;4,8640758793743;0,17330491149477;0,0748986364753795;2,72352142506155;0,559925768553572;2,14055445431276;25;187
"445";445;1,90062172600348;4,5530203039367;0,149417513828931;0,0786150719970552;2,80181609176214;0,615375268443147;1,75120421217455;15;160
"455";455;2,06324011489118;4,56846987181605;0,179215859977109;0,0868613685259611;2,68444561690198;0,587602784350827;1,88402425491407;15;185
"470";470;2,25864175360695;4,78543086665083;0,200326199295057;0,0886932152808852;2,72711531233893;0,569878739936234;2,05831555431189;21;239
"490";490;2,30893495959084;3,84436793095255;0,456002244749488;0,197494625327296;1,9914352161112;0,518013689604825;1,85293271484135;19;135
"600";600;2,10032302611473;4,09936372603134;0,465269897542045;0,221523018962813;2,46431059745866;0,601144656135306;1,63505312857268;17;141
