"";"DATE";"HDenomination";"HMotifs";"CEDenominationsMotifs";"NormCEDenominationsMotifs";"CEMotifsDenominations";"NormCEMotifsDenominations";"MI"
"Abdera";4;0,974314752869349;1,2130075659799;0,346573590279973;0,355710091897219;0,585266403390527;0,482491964440248;0,627741162589377
"Abydus";4;1,00424247305408;0,410116318288409;0,594126154765668;0,591616238814144;0;0;0,410116318288409
"Acanthus";4;0;0;0;NA;0;NA;0
"Acarnanian League ";4;0;0;0;NA;0;NA;0
"Acragas";4;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Adranum";4;0;1,03972077083992;0;NA;1,03972077083992;1;0
"Aegina";4;0;0;0;NA;0;NA;0
"Aenus";4;0,735621939758794;2,07944154167984;0;0;1,34381960192104;0,646240625180289;0,735621939758794
"Aetna";4;0;0;0;NA;0;NA;0
"Agyrium";4;0;0;0;NA;0;NA;0
"Alaesa";4;0;1,09861228866811;0;NA;1,09861228866811;1;0
"Alexandria Troas ";4;0;0;0;NA;0;NA;0
"Ambracia";4;0,271189373041844;2,45831132968308;0;0;2,18712195664124;0,889684691370314;0,271189373041844
"Amisus";4;0;0;0;NA;0;NA;0
"Amphipolis";4;1,27703425946614;1,94591014905531;0;0;0,668875889589174;0,343734210910969;1,27703425946614
"Antandrus";4;0;0;0;NA;0;NA;0
"Apollonia Pontica";4;1,54183273828636;1,71474311583251;0,318257084147406;0,206414792113655;0,49116746169355;0,286437925983501;1,22357565413896
"Aradus";4;0;0;0;NA;0;NA;0
"Arcadia";4;0,636514168294813;1,09861228866811;0;0;0,462098120373297;0,420619835714305;0,636514168294813
"Argos";4;1,32966134885476;1,56071040904141;0,231049060186648;0,17376534287144;0,462098120373297;0,296081910965865;1,09861228866811
"Aspendus";4;0;0;0;NA;0;NA;0
"Athens ";4;0;0;0;NA;0;NA;0
"Bergaeus";4;0;0;0;NA;0;NA;0
"Bithynia ";4;0;0;0;NA;0;NA;0
"Boeotia";4;0;0;0;NA;0;NA;0
"Byzantium";4;1,86404357975203;1,37929225447268;0,796893407087631;0,427507927252238;0,312142081808281;0,226305977428705;1,06715017266439
"Calabria ";4;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Calchedon";4;1,93846500603545;1,29450569472078;1,0778445929829;0,556029946182678;0,433885281668225;0,335174486630445;0,860620413052557
"Campania ";4;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Cappadocia ";4;0;0;0;NA;0;NA;0
"Caria ";4;1,3661588475692;1,22060726455302;0,475135269616617;0,347789183126122;0,329583686600433;0,270016160129217;0,891023577952585
"Carthage";4;1,22752941145721;1,55711309805765;0,277258872223978;0,225867396443757;0,606842558824411;0,389722852875228;0,950270539233235
"Carystus";4;0;0;0;NA;0;NA;0
"Cebren";4;0;0;0;NA;0;NA;0
"Centuripae";4;0;1,38629436111989;0;NA;1,38629436111989;1;0
"Cercinitis";4;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Chalcedon";4;1,09861228866811;0,636514168294813;0,462098120373297;0,420619835714305;0;0;0,636514168294813
"Chalcidice";4;1,09861228866811;0;1,09861228866811;1;0;NA;0
"Chersonesus";4;0,796311640173813;1,27703425946614;0,470833838000619;0,591268310353781;0,951556457292944;0,745129936992247;0,325477802173194
"Chios";4;0;0;0;NA;0;NA;0
"Cierium";4;0;0;0;NA;0;NA;0
"Cilicia ";4;0;1,38629436111989;0;NA;1,38629436111989;1;0
"Citium ";4;0;0;0;NA;0;NA;0
"Clazomenae";4;0;0;0;NA;0;NA;0
"Colchis";4;0,693147180559945;0,693147180559945;0;0;0;0;0,693147180559945
"Consentia";4;0;0;0;NA;0;NA;0
"Corinth";4;0,334221146213383;2,84430532669826;0,0763817001953777;0,228536407886687;2,58646588068026;0,909348886141801;0,257839446018005
"Crete ";4;0;0;0;NA;0;NA;0
"Crithote";4;0;0;0;NA;0;NA;0
"Croton";4;1,20617062241272;2,91805752607979;0,0533190138892263;0,0442052002415476;1,7652059175563;0,604924989236841;1,15285160852349
"Cumae";4;0;0,693147180559945;0;NA;0,693147180559945;1;0
"Cyprus";4;0;0;0;NA;0;NA;0
"Cyrenaica ";4;0;0;0;NA;0;NA;0
"Cyrene";4;0,693147180559945;0;0,693147180559945;1;0;NA;0
"Cyzicus";4;0;0;0;NA;0;NA;0
"Dardanus";4;0;0;0;NA;0;NA;0
"Delphi";4;0;0;0;NA;0;NA;0
