"";"DATE";"HAuthority";"HMotifs";"CEAuthoritiesMotifs";"NormCEAuthoritiesMotifs";"CEMotifsAuthorities";"NormCEMotifsAuthorities";"MI"
"bud";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"bull";330;2,66967018433722;0,257318640543832;2,48705882959978;0,931597784696849;0,0747072858063951;0,290329863582772;0,182611354737437
"calf";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"cap";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"cart";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"celery";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"chariot";330;2,66967018433722;0,0933195573779644;2,64149576017477;0,989446477573242;0,0651451332155153;0,698086607415672;0,0281744241624491
"charioteer";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"chimaera";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"cicada";330;2,66967018433722;0,0247429107127184;2,65210600484587;0,993420842921198;0,00717873122137025;0,290132850767643;0,0175641794913481
"cippus";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"circle";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"city.goddess";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"club";330;2,66967018433722;0,303059385254373;2,56984383743591;0,962607236097184;0,203233038353064;0,67060466773692;0,0998263469013088
"cock";330;2,66967018433722;0,0442600020458075;2,66326151751999;0,997599453724723;0,037851335228579;0,855204100293629;0,00640866681722851
"cockle.shell";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"column.capital";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"conch.shell";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"corn";330;2,66967018433722;0,19518096180778;2,54203811273043;0,952191820414524;0,0675488902009964;0,346083396532909;0,127632071606784
"cornucopiae";330;2,66967018433722;0,0247429107127184;2,66647539243081;0,998803300900181;0,021548118806308;0,870880514281282;0,00319479190641037
"cow";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
"crab";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"crane";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"crayfish";330;2,66967018433722;0,160220832403096;2,52204708528315;0,944703619226014;0,0125977333490286;0,0786273118175681;0,147623099054068
"crepundia";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"crescent";330;2,66967018433722;0,0780397770903951;2,65677554046234;0,995169948726052;0,0651451332155153;0,83476831488199;0,0128946438748798
"Cretan.bull";330;2,66967018433722;0;2,66967018433722;1;0;NA;0
"crook";330;2,66967018433722;0,0247429107127184;2,6449272736245;0,990731847380293;0;0;0,0247429107127184
