"";"DATE";"HAuthority";"HMotifs";"CEAuthoritiesMotifs";"NormCEAuthoritiesMotifs";"CEMotifsAuthorities";"NormCEMotifsAuthorities";"MI"
"acorn";4;4,15235283503768;0;4,15235283503768;1;0;NA;0
"aegis";4;4,15235283503768;0,00818673666705916;4,14963498944916;0,999345468533988;0,0054688910785412;0,668018442628831;0,00271784558851795
"Aiolos";4;4,15235283503768;0;4,15235283503768;1;0;NA;0
"Ajax";4;4,15235283503768;0,053063967432931;4,10449596878621;0,988474759214185;0,00520710118145917;0,0981287572973237;0,0478568662514727
"Alexander";4;4,15235283503768;0,00818673666705916;4,14743299625052;0,99881516841593;0,00326689787990375;0,399047631890826;0,00491983878715541
"altar";4;4,15235283503768;0,0325490661614367;4,13780496379993;0,996496475175472;0,0180011949236851;0,553047968700634;0,0145478712377516
"Ammon";4;4,15235283503768;0;4,15235283503768;1;0;NA;0
"amphora";4;4,15235283503768;0,10516269831431;4,07925998373997;0,982397244598063;0,0320698470166034;0,304954584949438;0,0730928512977078
"anchor";4;4,15235283503768;0,0971468238973507;4,06146403532827;0,978111494056458;0,00625802418794486;0,0644182067604942;0,0908887997094059
"animal.mask";4;4,15235283503768;0;4,15235283503768;1;0;NA;0
"ankh";4;4,15235283503768;0,0325490661614367;4,12950656124714;0,994497993138308;0,00970279237089144;0,298097411543778;0,0228462737905453
"ant";4;4,15235283503768;0;4,15235283503768;1;0;NA;0
"Aphrodite";4;4,15235283503768;0,0325490661614367;4,12586744365971;0,993621594206908;0,00606367478347103;0,186293356417553;0,0264853913779657
"Apollo";4;4,15235283503768;0,320254843515443;3,96110141438835;0,953941433147121;0,129003422866116;0,402814900315148;0,191251420649325
"apple";4;4,15235283503768;0;4,15235283503768;1;0;NA;0
"architrave";4;4,15235283503768;0,0149298354277976;4,1447600690158;0,998171454516627;0,00733706940591894;0,49143672355947;0,00759276602187864
"Ares";4;4,15235283503768;0,0431101908588944;4,12504404339788;0,993423296929545;0,0158013992190895;0,366535125553252;0,0273087916398049
"Arethusa";4;4,15235283503768;0,124351604731499;4,07931413472204;0,982410285633886;0,0513129044158633;0,412643685030513;0,0730387003156361
