"";"NUMofMotifs";"CEDenomination.Designs";"NormCEDenomination.Designs";"Ncoins"
"1";1;0;0;72
"2";2;0,158766971230844;0,134744359463969;685
"3";3;0,0280818255150646;0,0259519380249399;814
"4";4;0,0709957331775852;0,0654909207123816;530
"5";5;0;0;278
"6";6;0;0;87
"7";7;0;0;43
"8";8;0;0;9
"9";9;0;0;5
"10";10;0;0;9
"11";11;0;0;6
"12";12;NA;NA;1
