"";"NUMofMotifs";"CEDenomination.Designs";"NormCEDenomination.Designs";"Ncoins"
"1";1;0,432774228554804;0,203650408473316;72
"2";2;0,43123576756397;0,186209567943942;685
"3";3;0,2439342959218;0,110914277895872;814
"4";4;0,146775214841179;0,0769126463561369;530
"5";5;0,0271822423748995;0,0170859169834679;278
"6";6;0,0977974164554447;0,0642684983361849;87
"7";7;0,275419483948483;0,190348932591621;43
"8";8;0;NA;9
"9";9;0;NA;5
"10";10;0;NA;9
"11";11;NA;NA;6
"12";12;0;NA;1
