"";"AUTHORITY";"CEDenomination.Designs";"Entropy.Denominations";"NormCEDenomination.Designs";"Ncoins"
"Abdera";"Abdera";0,146306884132447;0,470235962355249;0,311135038246855;23
"Acanthus";"Acanthus";0;0;NA;5
"Acragas";"Acragas";0,372144967130025;0,686961576597323;0,541726029239282;27
"Aegina";"Aegina";0;0;NA;3
"Aenus";"Aenus";0;0;NA;20
"Amphipolis";"Amphipolis";0;0;NA;3
"Apollonia Pontica";"Apollonia Pontica";0;0;NA;2
"Athens ";"Athens ";0;0,79026796807459;0;13
"Barca ";"Barca ";0;0;NA;2
"Boeotian League ";"Boeotian League ";0;0,500402423538188;0;5
"Byzantium";"Byzantium";0;0;NA;2
"Calchedon";"Calchedon";0;0;NA;4
"Camarina";"Camarina";0;0,636514168294813;0;6
"Caria ";"Caria ";0,449868115695047;0,673011667009256;0,668440292713171;5
"Carthage";"Carthage";0;-2,22044604925031e-16;0;6
"Catana";"Catana";0;0;NA;14
"Caulonia";"Caulonia";0;0;NA;3
"Centuripae";"Centuripae";0;0;NA;1
"Chalcidice";"Chalcidice";0;0;NA;2
"Chios";"Chios";0;0;NA;5
"Cierium";"Cierium";0;0;NA;1
"Clazomenae";"Clazomenae";0;0;NA;1
"Cnidus";"Cnidus";0;0;NA;1
"Colchis";"Colchis";0;0;NA;1
"Corcyra";"Corcyra";0;0;NA;1
"Corinth";"Corinth";0;0;NA;1
"Cos";"Cos";0;0;NA;3
"Croton";"Croton";0;0;NA;4
"Cumae";"Cumae";0;-2,22044604925031e-16;0;6
"Cyrenaica ";"Cyrenaica ";0;0;NA;1
"Cyrene";"Cyrene";0;0;NA;3
"Cyzicus";"Cyzicus";0;0;NA;2
"Derrones";"Derrones";0;0;NA;2
"Dionysius I and Dionysius II";"Dionysius I and Dionysius II";0;0,955699891112534;0;7
"Dyrrhachium";"Dyrrhachium";0;0;NA;2
"Edonian Macedonia ";"Edonian Macedonia ";0;0;NA;1
"Elis";"Elis";0;0;NA;1
"Ephesus";"Ephesus";0;0;NA;3
"Eretria";"Eretria";0;0,562335144618808;0;4
"Eryx";"Eryx";0;0;NA;2
"Gela";"Gela";0;0,5526646224944;0;29
"Heraclea";"Heraclea";0;0;NA;13
"Heraclea Pontica";"Heraclea Pontica";0;0;NA;1
"Himera";"Himera";0;0,500402423538188;0;5
"Hyria";"Hyria";0;0;NA;10
"Ionia";"Ionia";0;0,693147180559945;0;2
"Larissa";"Larissa";0;0;NA;5
"Leontinoi";"Leontinoi";0;0,314492201281411;0;21
"Lycia";"Lycia";0;0;NA;1
"Macedonia";"Macedonia";0,0832120066092421;0,437718715306828;0,190103835406976;69
"Maroneia";"Maroneia";0;0;NA;3
"Mende";"Mende";0;0;NA;29
"Metapontum";"Metapontum";0;0;NA;1
"Motya";"Motya";0;0,693147180559945;0;2
"Naxos";"Naxos";0;0,529706199057655;0;9
"Neapolis";"Neapolis";0;0;NA;8
"Nola";"Nola";0;0;NA;2
"Olynthus";"Olynthus";0;0;NA;4
"Panormus";"Panormus";0;0;NA;3
"Panticapaeum";"Panticapaeum";0;0;NA;1
"Pherae";"Pherae";0;0;NA;1
"Phistelia";"Phistelia";0;0;NA;2
"Poseidonia";"Poseidonia";0;0;NA;3
"Rhegium";"Rhegium";0;0;NA;16
"Rhodes";"Rhodes";0;0,562335144618808;0;4
"Samos";"Samos";0;1,03972077083992;0;4
"Scione";"Scione";0;0;NA;1
"Segesta";"Segesta";0;0,244930026794635;0;15
"Selinus";"Selinus";0;0,693147180559945;0;20
"Sermyle";"Sermyle";0;0;NA;1
"Sicilian Naxos";"Sicilian Naxos";0;0;NA;2
"Sidon ";"Sidon ";0;0;NA;2
"Sybaris";"Sybaris";0;0;NA;3
"Syracuse";"Syracuse";0,0932936969717924;0,576875419345994;0,161722434070011;102
"Syria ";"Syria ";0;0,562335144618808;0;4
"Tarentum";"Tarentum";0;0;NA;66
"Tenedos";"Tenedos";0;0,693147180559945;0;2
"Terina";"Terina";0;0;NA;10
"Thasos";"Thasos";0;0,682908104700471;0;7
"Thebes";"Thebes";0;0;NA;7
"Thrace";"Thrace";0;0;NA;1
"Thraco-Macedonia";"Thraco-Macedonia";0;0,693147180559945;0;2
"Thurium";"Thurium";0;0,429323021930616;0;13
"Timoleon";"Timoleon";0;0,907535294105009;0;11
"Velia";"Velia";0;0;NA;15
"Zancle-Messana";"Zancle-Messana";0;0;NA;28
