"";"AUTHORITY";"CEDenomination.Designs";"Entropy.Denominations";"NormCEDenomination.Designs";"Ncoins"
"Pharsalus";"Pharsalus";0;0;NA;5
"Pheneos";"Pheneos";0;0;NA;1
"Pherae";"Pherae";0;0;NA;1
"Philippi";"Philippi";0;0,693147180559945;0;2
"Phistelia";"Phistelia";0;0;NA;1
"Phlius";"Phlius";0;0;NA;1
"Phocaea";"Phocaea";0;0;NA;3
"Phocian League ";"Phocian League ";0;0;NA;5
"Phocis ";"Phocis ";0;0,693147180559945;0;6
"Poseidonia";"Poseidonia";0,607163660580341;1,03619878481928;0,585952878420169;11
"Proconnesus";"Proconnesus";0;0;NA;1
"Rhegium";"Rhegium";0;1,08889997534522;0;10
"Salamis ";"Salamis ";0;0;NA;3
"Samos";"Samos";0,462098120373297;0,636514168294813;0,725982457878719;3
"Sardes";"Sardes";0,381908500976888;0,500402423538188;0,763202740459435;5
"Segesta";"Segesta";0;0;NA;3
"Selinus";"Selinus";0;0,562335144618808;0;4
"Seuthes II";"Seuthes II";0;0;NA;1
"Sicilian Naxos";"Sicilian Naxos";0;0;NA;1
"Sidon ";"Sidon ";0;0;NA;1
"Sinde";"Sinde";0;0;NA;1
"Sinope";"Sinope";0,131238177916621;0,501046913759097;0,261927923938316;42
"Soli";"Soli";0;0;NA;1
"Sparadokos";"Sparadokos";0;0;NA;1
"Stymphalus";"Stymphalus";0;0;NA;1
"Sybaris";"Sybaris";0,616130827164396;1,06085694715802;0,580785966302975;9
"Syracuse";"Syracuse";0;1,65675909784412;0;31
"Syria ";"Syria ";0;0;NA;1
"Tanagra";"Tanagra";0;0,598269588585257;0;7
"Tarentum";"Tarentum";0,115524530093324;1,47350238508065;0,0784013186968823;12
"Tarsus";"Tarsus";0;0,918427784993098;0;12
"Tegea";"Tegea";0;0;NA;1
"Tenedos";"Tenedos";0;0,636514168294813;0;3
"Teos";"Teos";0;0;NA;1
"Terina";"Terina";0,142184037037937;0,888304261934596;0,160062315504692;39
"Terone";"Terone";0;0;NA;1
"Thasos";"Thasos";0,40711583886645;1,20479330969478;0,337913429291525;13
"The Sindi";"The Sindi";0,462098120373297;0,636514168294813;0,725982457878719;3
"Thebes";"Thebes";0,277258872223978;0,860851390631231;0,322075186543724;15
"Thespiae";"Thespiae";0;0;NA;1
"Thourion";"Thourion";0,277258872223978;0,500402423538188;0,554071801378515;5
"Thraco-Macedonia";"Thraco-Macedonia";0;0;NA;1
"Thurium";"Thurium";0,529774709429331;0,98991998338225;0,535169224101583;29
"Timoleon";"Timoleon";0;1,03972077083992;0;4
"Tricca";"Tricca";0;0;NA;1
"Troezen";"Troezen";0,693147180559945;0,693147180559945;1;2
"Tyre";"Tyre";0;0;NA;1
"Velia";"Velia";0,184839248149319;0,76475441956742;0,241697522001733;15
"Zacynthus";"Zacynthus";0;0;NA;1
"Zancle-Messana";"Zancle-Messana";0,201979718866396;1,03662796885861;0,194843014981342;18
