"";"AUTHORITY";"CEDenomination.Designs";"Entropy.Denominations";"NormCEDenomination.Designs";"Ncoins"
"Abacaenum";"Abacaenum";0;0;NA;1
"Abdera";"Abdera";0;0,562335144618808;0;16
"Abydus";"Abydus";0,693147180559945;0,693147180559945;1;6
"Acanthus";"Acanthus";0;0;NA;5
"Achaean League ";"Achaean League ";0;0;NA;3
"Acragas";"Acragas";0,180224483546522;1,58216994292525;0,113909687358431;15
"Aegae";"Aegae";0;0,636514168294813;0;3
"Aegina";"Aegina";1,25604038098962;1,48925148587877;0,843403812518922;21
"Aenus";"Aenus";0,253525912769564;0,79026796807459;0,320810058121493;13
"Allifae";"Allifae";0;0;NA;1
"Ambracia";"Ambracia";0;0;NA;12
"Amphipolis";"Amphipolis";0;1,03972077083992;0;4
"Apollonia Pontica";"Apollonia Pontica";0;1,08889997534522;0;10
"Aradus";"Aradus";0;0;NA;1
"Arcadia";"Arcadia";0;0;NA;2
"Arcadian League";"Arcadian League";0,693147180559945;0,693147180559945;1;2
"Argos";"Argos";0,173286795139986;1,73286795139986;0,1;8
"Aspendus";"Aspendus";0;0,636514168294813;0;3
"Astacus";"Astacus";0;0;NA;1
"Athens ";"Athens ";0,520024453782925;1,71037035339902;0,304042018004743;47
"Barca ";"Barca ";0,462098120373297;0,636514168294813;0,725982457878719;3
"Bergaeus";"Bergaeus";0;0;NA;1
"Boeotia";"Boeotia";0;0;NA;1
"Boeotian League ";"Boeotian League ";0,951556457292944;1,5498260458782;0,613976297419721;7
"Byzantium";"Byzantium";0,687633832020229;1,69773359137439;0,405030468569311;13
"Calchedon";"Calchedon";0,99536710414056;1,86271040816714;0,534364923165901;19
"Camarina";"Camarina";0,198042051588556;0,796311640173813;0,248699179564082;7
"Camirus";"Camirus";0,693147180559945;0,693147180559945;1;2
"Cappadocia ";"Cappadocia ";0;0;NA;1
"Caria ";"Caria ";0;0;NA;3
"Carthage";"Carthage";0,462098120373297;1,09861228866811;0,420619835714305;3
"Carystus";"Carystus";0;0;NA;1
"Catana";"Catana";0;0,661563238157982;0;8
"Caulonia";"Caulonia";0,249926730941692;0,348832095843032;0,716467131092648;27
"Caunus";"Caunus";0;0;NA;2
"Ceos";"Ceos";0;0;NA;1
"Chalcedon";"Chalcedon";0,462098120373297;1,09861228866811;0,420619835714305;3
"Chalcidice";"Chalcidice";0;0;NA;1
"Chersonesus";"Chersonesus";0,693147180559945;0,693147180559945;1;2
"Chios";"Chios";0;0,693147180559945;0;2
"Citium ";"Citium ";0;0;NA;1
"Clazomenae";"Clazomenae";0;0,693147180559945;0;2
"Cnidus";"Cnidus";0;0;NA;4
"Cnossus";"Cnossus";0;0;NA;2
"Colchis";"Colchis";0;0;NA;3
"Corcyra";"Corcyra";0;0;NA;3
"Corinth";"Corinth";0,100540874640109;0,417371849620122;0,240890406795805;90
"Croton";"Croton";0,0323651272014311;0,661961632179771;0,0488927539423337;59
"Croton and Sybaris";"Croton and Sybaris";0;0;NA;1
"Croton and Temesa";"Croton and Temesa";0;0;NA;2
"Cumae";"Cumae";0;0;NA;1
"Cyrenaica ";"Cyrenaica ";0;0;NA;3
"Cyrene";"Cyrene";0;0;NA;1
"Cyzicus";"Cyzicus";0;0,885574151576672;0;11
"Delphi";"Delphi";0;0;NA;3
"Dicaea";"Dicaea";0;0,693147180559945;0;2
"Dyrrhachium";"Dyrrhachium";0;0,474139313057838;0;11
"Eion";"Eion";0;1,09861228866811;0;3
"Elis";"Elis";0;0,348832095843032;0;9
"Epirote Kingdom ";"Epirote Kingdom ";0;0;NA;1
"Eretria";"Eretria";0;0;NA;1
"Erythrae";"Erythrae";0;0;NA;3
"Eryx";"Eryx";0;0;NA;3
"Euboea";"Euboea";0;0;NA;2
"Gela";"Gela";0;0,867563228481461;0;6
"Haliartus";"Haliartus";0;0;NA;3
"Halicarnassus ";"Halicarnassus ";0,693147180559945;0,693147180559945;1;2
"Heraclea";"Heraclea";0;1,2130075659799;0;8
"Heraclea Lucania";"Heraclea Lucania";0;1,01140426470735;0;6
"Heraclea ";"Heraclea ";0;0;NA;1
"Heraclea Pontica";"Heraclea Pontica";0,708592547541345;1,64173471218752;0,431612088287507;11
"Heraclea Sintica";"Heraclea Sintica";0;0;NA;1
"Himera";"Himera";0,46680196832647;1,03176711135054;0,452429587250022;13
"Hipana";"Hipana";0;0;NA;1
"Ionia";"Ionia";0;0;NA;1
"Istrus";"Istrus";0;0,693147180559945;0;4
"Lamia ";"Lamia ";0,693147180559945;0,693147180559945;1;2
"Lampsacus";"Lampsacus";0;0,410116318288409;0;7
"Larissa";"Larissa";0,29435436678717;0,578325286660128;0,508977168346016;17
"Laus";"Laus";0;0;NA;1
"Leontinoi";"Leontinoi";0;0,89794572485678;0;10
"Lesbos";"Lesbos";0;0,562335144618808;0;4
"Lete";"Lete";0;0,636514168294813;0;3
"Leucas";"Leucas";0;0;NA;16
"Lipara";"Lipara";0;0;NA;1
"Locri";"Locri";0;0;NA;2
"Locri Opuntii";"Locri Opuntii";0,454454367449391;0,974314752869349;0,466434862154172;8
"Lycia";"Lycia";0;1,49719057353131;0;29
"Lydia";"Lydia";0;0,693147180559945;0;2
"Macedonia";"Macedonia";0,0807852388582129;1,4366567992006;0,0562314109418229;69
"Mallus";"Mallus";0;0;NA;1
"Maroneia";"Maroneia";0;0;NA;1
"Massalia";"Massalia";0;0,325082973391448;0;10
"Mende";"Mende";0;0;NA;2
"Mesembria";"Mesembria";0;0,693147180559945;0;4
"Metapontum";"Metapontum";0,437181542098795;1,11020086550756;0,39378598565488;21
"Methymna";"Methymna";0;1,09861228866811;0;3
"Miletus";"Miletus";0,831776616671934;1,33217904021012;0,624372994594435;5
"Morgantina";"Morgantina";0;0;NA;1
"Motya";"Motya";0;0;NA;1
"Mycalessus";"Mycalessus";0;0;NA;1
"Mytilene";"Mytilene";0,126026760101808;0,585952618303551;0,215080121096959;22
"Naxos";"Naxos";0,224934057847523;0,693147180559946;0,324511249783653;10
"Neapolis";"Neapolis";0;1,32088834314932;0;8
"Nymphaeum";"Nymphaeum";0;0;NA;1
"Oetaei";"Oetaei";0;0;NA;1
"Olbia";"Olbia";0;0,693147180559945;0;2
"Olympia";"Olympia";0,277258872223978;1,16828245017656;0,237321781374081;10
"Olynthus";"Olynthus";0;0;NA;2
"Opus";"Opus";0;0;NA;1
"Orchomenus";"Orchomenus";0,693147180559945;0,693147180559945;1;2
"Orthagoreia";"Orthagoreia";0;0;NA;1
"Paeonia ";"Paeonia ";0;0;NA;2
"Panticapaeum";"Panticapaeum";0;1,32088834314932;0;8
"Persia";"Persia";0,462098120373297;0,636514168294813;0,725982457878719;3
"Phaestus";"Phaestus";0;0;NA;1
"Phalanna";"Phalanna";0;0;NA;1
"Pharae";"Pharae";0;0;NA;1
"Pharcadon";"Pharcadon";0;0;NA;2
